Timestamp,Untitled Question,How outgoing are you?,How often do you party?,How often do you plan to have guests over?,How often do you drink?,How often do you smoke?,How often do you plan to study?,What time do you typically go to bed?,How often are you in your room?,How much are you into sports?,How much are you into video games?,How often do you watch TV/Netflix?,How often do you plan on cooking?,How often do you clean your living space?,What is your preferred room temperature?,Do you plan on having pets?,How do you feel about sharing items between roommates?,Email Address,How outgoing is your roommate?,How often does your roommate party?,How often does your roommate plan to have guests over?,How often does your roommate drink?,How often does your roommate smoke?,How often does your roommate plan to study?,What time does your roommate typically go to bed?,How often is your roommate in his/her room?,How much is your roommate into sports?,How much is your roommate into video games?,How often does your roommate watch TV/Netflix?,How often does your roommate plan on cooking?,How often does your roommate clean his/her living space?,What is  your roommate's preferred room temperature?,Does  your roommate have pets?,How does your roommate feel about sharing items?,,How compatible were you with your roommate?
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/23/17 15:07,,3,1,2,2,2,2,3,3,2,2,1,3,3,3,1,2,,2,1,1,2,2,1,4,1,1,2,4,2,2,3,1,3,,9
4/23/17 15:16,,2,3,3,1,1,2,4,2,2,4,3,2,3,3,1,3,,2,4,3,4,2,1,3,2,3,4,4,3,2,3,1,4,,8
4/23/17 15:20,,3,1,2,2,2,2,3,3,3,2,1,3,3,3,1,2,,2,1,1,2,2,1,4,1,1,2,4,2,2,3,1,3,,9
4/23/17 16:52,,3,2,3,3,2,1,4,3,3,2,2,1,2,3,1,3,,3,3,3,3,1,2,3,2,1,2,4,3,2,2,1,3,,9
4/23/17 16:56,,2,3,2,3,1,2,4,3,2,1,4,1,2,3,1,4,,2,2,2,2,1,3,4,2,1,1,2,3,3,3,1,2,,9
4/23/17 16:56,,2,2,2,2,1,3,2,2,2,1,3,3,3,2,1,2,,4,3,3,3,2,2,4,3,2,1,3,2,1,2,1,2,,5
4/23/17 17:00,,2,1,2,2,1,3,3,2,3,1,2,2,3,3,1,2,,2,1,2,1,1,2,2,2,1,1,2,3,3,3,1,2,,8
4/23/17 17:11,,3,3,2,3,2,3,3,3,3,4,2,1,2,3,1,3,,2,2,2,2,3,3,3,4,3,4,3,2,2,3,1,3,,9
4/23/17 18:20,,3,3,3,3,1,1,3,3,4,2,1,2,3,2,3,2,,2,1,1,2,1,3,1,1,1,2,3,1,3,2,1,1,,3
4/23/17 20:59,,2,1,2,2,1,3,4,2,2,3,3,1,2,2,1,2,,4,4,4,4,3,2,4,3,2,3,4,1,2,2,1,3,,4
4/23/17 21:00,,2,2,2,1,1,1,3,1,3,4,4,1,2,2,2,4,,1,1,1,1,1,2,2,1,3,4,2,2,2,3,1,3,,6
4/23/17 22:19,,2,1,2,2,1,3,4,2,2,3,3,1,2,2,1,2,,2,1,1,2,2,3,3,1,2,3,4,2,1,1,1,2,,8
4/23/17 22:21,,2,1,2,2,1,3,4,2,2,3,3,1,2,2,1,2,,3,1,2,1,1,3,4,2,2,3,3,1,2,3,1,3,,9
4/24/17 16:56,,2,2,2,2,1,4,1,1,2,1,1,2,2,3,3,1,,4,2,2,2,2,4,3,3,3,1,4,2,2,3,2,2,,5
4/24/17 17:01,,3,2,2,2,2,4,2,2,4,2,1,3,4,3,3,3,,3,2,2,2,3,3,4,2,1,2,3,1,1,2,1,3,,9
4/24/17 17:01,,4,4,4,4,2,3,3,3,2,1,2,2,3,3,1,3,,3,4,3,4,3,3,3,3,1,1,2,1,1,3,1,3,,9
4/24/17 17:06,,2,1,4,1,1,3,3,4,2,1,2,2,3,3,1,3,,3,1,4,1,1,2,3,1,1,1,2,1,4,3,1,3,,10
4/24/17 17:06,,3,3,3,3,1,2,3,4,4,4,3,2,3,3,1,2,,3,3,3,3,2,2,3,2,2,4,4,3,4,3,1,2,,9
4/24/17 17:11,,3,1,4,3,1,2,3,3,2,4,4,2,2,2,3,3,,1,1,2,1,1,4,3,1,1,4,2,1,4,2,1,2,,6
4/24/17 17:27,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,10
4/24/17 21:03,,2,2,2,2,1,2,3,2,3,4,2,2,4,3,1,2,,4,3,3,3,3,3,3,2,3,4,1,2,3,3,1,3,,7
4/25/17 12:07,,4,4,3,4,1,4,4,4,2,1,4,2,3,3,1,3,,4,4,4,4,1,2,4,3,2,1,4,2,3,3,1,3,,9
4/25/17 12:09,,4,4,4,4,1,4,4,4,2,1,4,2,3,2,1,3,,2,2,2,2,1,2,2,1,4,1,4,2,1,2,1,4,,6
4/25/17 12:14,,4,4,4,4,1,4,4,4,2,1,4,2,3,3,1,3,,3,4,3,4,1,1,4,3,4,1,3,1,1,2,1,3,,5
4/25/17 12:18,,4,4,4,4,1,2,4,4,1,3,4,2,3,3,1,3,,2,2,2,2,1,1,4,1,4,3,2,2,1,2,1,3,,4
4/25/17 12:21,,4,4,4,4,4,4,4,4,2,1,4,2,3,3,1,3,,4,1,3,1,1,1,1,2,1,1,1,2,3,3,1,2,,1
4/25/17 13:02,,2,2,3,1,1,2,4,2,2,4,1,2,4,3,1,3,,3,2,1,2,1,2,3,2,1,4,3,2,1,3,1,3,,7
4/25/17 13:03,,2,2,2,1,1,2,4,2,2,4,1,2,2,3,1,3,,1,1,1,1,1,2,4,1,1,4,1,1,1,3,1,1,,2
4/25/17 13:06,,2,2,1,1,1,2,4,2,2,4,1,1,3,3,1,3,,3,3,2,4,1,2,3,3,2,4,2,1,2,3,1,3,,9
4/25/17 13:10,,2,1,2,1,1,2,4,2,2,4,1,1,4,3,1,3,,2,2,1,4,3,2,4,4,1,4,2,1,2,3,1,3,,6
4/25/17 13:41,,3,2,2,2,1,4,4,3,4,2,3,2,2,3,1,2,,3,2,2,2,1,3,3,2,3,2,3,2,2,3,1,2,,8
4/25/17 13:45,,3,2,2,2,2,2,3,3,3,2,1,3,3,3,1,2,,2,1,2,2,1,2,2,3,4,2,2,2,2,2,1,2,,6
4/25/17 13:55,,3,2,2,2,1,3,3,3,2,1,2,1,3,3,1,2,,3,1,2,2,1,3,3,4,1,1,3,1,3,3,1,2,,8
4/25/17 14:28,,3,3,2,3,2,2,3,2,2,4,4,2,2,4,1,3,,1,1,2,2,1,2,2,1,1,4,2,1,2,3,1,3,,8
4/25/17 14:54,,4,3,2,2,3,2,3,3,3,2,1,4,2,2,1,2,,2,2,4,2,1,3,4,2,1,2,2,2,1,2,2,1,,2
